Provincia;Municipio;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Rem.;Horario;
CANTABRIA;MARINA DE CUDEYO;PEDREÑA;39130;BARRIO LA BARQUERIA 151-ES;-3.766472;43.447167;1.695;;1.595;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 06:00-21:30;
CANTABRIA;SAN VICENTE DE LA BARQUERA;SAN VICENTE DE LA BARQUERA;39540;AVDA. ANTONIO GARELY, S/Nº;-4.397755;43.385014;;;1.517;649;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CANTABRIA;SANTANDER;SANTANDER;39009;PUERTO PSQUERO;-3.821333;43.449222;;;;649;;REPSOL;Suministro a pesqueros;OM;L-J: 09:00-13:00 y 14:00-18:00;
CANTABRIA;SANTOÑA;SANTOÑA;39740;MUELLE PESQUERO, S/Nº;-3.46331;43.441959;1.634;;1.517;649;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CANTABRIA;SUANCES;SUANCES;39340;MUELLE PESQUERO, S/Nº;-4.035255;43.425292;1.634;;1.517;649;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CASTELLÓN / CASTELLÓ;ALCALÀ DE XIVERT;ALCOSSEBRE;12579;PM PUERTO DEPORTIVO LAS FUENTES DE ALCOCEBRE;0.280667;40.247972;1.405;;1.39;;;PETROL QUECHEN S.L.;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 16:00-19:00;
CASTELLÓN / CASTELLÓ;BURRIANA;BURRIANA;12530;MUELLE DE PONIENTE;-0.069139;39.859056;1.7;;1.59;;;MARINA BURRIANANOVA, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;CASTELLON DE LA PLANA;12100;MUELLE PESQUERO, S/Nº;-0.019836;39.96634;;;;651;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;CASTELLON DE LA PLANA;12100;ESCOLLERA DE PONIENTE, S/N;0.020639;39.968583;1.577;;1.5;;;REAL CLUB NAUTICO DE CASTELLON;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
CASTELLÓN / CASTELLÓ;PEÑÍSCOLA;PEÑISCOLA;12598;EXPLANADA  DEL PUERTO S/N;0.406167;40.356417;;;;639;;NINGUNO;Suministro a pesqueros;dm;L-V: 09:00-13:00 y 15:00-19:00;
CORUÑA (A);CAMARIÑAS;CAMARIÑAS;15123;MUELLE PESQUERO, S/Nº;-9.182914;43.128027;;;;665;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);CARIÑO;CARIÑO;15593;MUELLE PESQUERO, S/Nº;-7.866525;43.737749;;;;682;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);CORUÑA (A);CORUÑA (A);15001;PASEO MARITIMO ALCALDE FCO VAZQUEZ S/N ;-8.383556;43.366889;1.59;;1.512;;;MARINA CORUÑA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
CORUÑA (A);CORUÑA (A);CORUÑA (A);15006;DÁRSENA DE OZA, S/Nº;-8.379303;43.348582;;;;634;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);FERROL;FERROL;15401;MUELLE DE CRUXEIRAS, S/Nº;-8.244303;43.478304;1.594;;1.493;665;;REPSOL;Mixto;OM;L-D: 24H;
CORUÑA (A);FISTERRA;FISTERRA;15155;MUELLE PESQUERO, S/Nº;-9.25975;42.907389;;;;664;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);LAXE;LAXE;15117;MUELLE PESQUERO, S/Nº;-9.001803;43.223304;;;;664;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);MALPICA DE BERGANTIÑOS;MALPICA;15113;MUELLE PESQUERO, S/Nº;-8.808192;43.323304;;;;665;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);MUROS;MUROS;15250;MUELLE PESQUERO S/N;-9.055969;42.776082;1.594;;1.469;665;;REPSOL;Mixto;OM;L-D: 24H;
CORUÑA (A);MUXÍA;MUXIA;15124;MUELLE PESQUERO, S/Nº;-9.214858;43.105804;;;;659;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);POBRA DO CARAMIÑAL (A);POBRA DO CARAMIÑAL;15940;MUELLE COMERCIAL S/N;-8.935417;42.609083;1.559;;1.459;729;;AVIA;Mixto;dm;L-D: 07:00-23:00;
