direccion_estacion;margen_estacion;tipo_estacion;horario_estacion;latitud_estacion;longitud_estacion;nombre_localidad;nombre_empresa
AVENIDA DEL ESTRECHO, 7;D;Terrestre;L-D: 24H;36.159889;-5.465306;ALGECIRAS;BFUEL ALGECIRAS
CARRETERA CTRA. N. 340 KM. KM 107,32;N;Terrestre;L-D: 24H;36.149833;-5.454278;ALGECIRAS;Q8
AVENIDA VIRGEN DE EUROPA, S/N;D;Terrestre;L-D: 07:00-22:00;36.133306;-5.452083;ALGECIRAS;REPSOL
AVENIDA 28 DE FEBRERO, S/N;N;Terrestre;L-D: 06:10-22:50;36.11225;-5.454528;ALGECIRAS;BP
PASEO VICTORIA EUGENIA, S/N;I;Terrestre;L-D: 24H;36.117056;-5.444611;ALGECIRAS;REPSOL
AVENIDA GAITAN AYALA (PUERTO ALGECIRAS-ISLA VERDE), S/N;D;Terrestre;L-D: 24H;36.124028;-5.437194;ALGECIRAS;CEPSA
CALLE PACO DE LUCIA, 2;N;Terrestre;L-D: 07:00-23:00;36.117361;-5.444889;ALGECIRAS;FRII
AVENIDA GESTO POR LA PAZ, 106;D;Terrestre;L-D: 24H;36.115889;-5.453528;ALGECIRAS;PLENOIL
CARRETERA CADIZ MALAGA (C.C. EROSKI) KM. 106,25;N;Terrestre;L-D: 24H;36.143056;-5.462389;ALGECIRAS;CARREFOUR
AVENIDA VIRGEN DEL CARMEN-PARCELA, 3;N;Terrestre;L-D: 07:00-23:00;36.14125;-5.454667;ALGECIRAS;SHELL
CARRETERA N-IV KM. 107,5;D;Terrestre;L-D: 06:30-22:30;36.151222;-5.455194;ALGECIRAS;BP
POLIGONO EL ROSARIO PARCELA IV, S/N;D;Terrestre;L-D: 07:00-23:00;36.145306;-5.449361;ALGECIRAS;BP EL RINCONCILLO
AVENIDA GESTOS POR LA PA, 7;D;Terrestre;L: 24H;36.122917;-5.4505;ALGECIRAS;BP
TERRENOS PP MENACHA (S.EJ.), 9;D;Terrestre;L-D: 24H;36.162444;-5.463694;ALGECIRAS;BALLENOIL
CARRETERA N-340 KM. 106;I;Terrestre;L-D: 07:00-23:00;36.147611;-5.454833;ALGECIRAS;CEPSA
CARRETERA CÁDIZ - MÁLAGA KM. 108,5;N;Terrestre;L-D: 24H;36.149639;-5.455194;ALGECIRAS;Q8
AVENIDA DE LA UNION, 21;I;Terrestre;L-D: 24H;36.113944;-5.470667;ALGECIRAS;LA CALLE DEL MOTOR
AVENIDA GESTO POR LA PAZ, 103;D;Terrestre;L-D: 24H;36.11525;-5.453667;ALGECIRAS;BALLENOIL
CARRETERA N-340A KM. 103;I;Terrestre;"L-V: 07:00-19:00; S-D: 08:00-14:00";36.118194;-5.453278;ALGECIRAS;REPSOL
CARRETERA A-384 KM. 43,500;I;Terrestre;L-D: 06:30-22:30;36.877639;-5.425833;ALGODONALES;REPSOL
AVENIDA MANUEL PIMENTEL, S/N;D;Terrestre;"L-V: 08:00-14:00 y 16:00-19:00; S: 08:00-13:00";36.875694;-5.413472;ALGODONALES;S.C.A. NTRA. SRA. ROSARIO
POLIGONO PERAL, S/N;N;Terrestre;L-D: 07:00-22:00;36.769667;-5.808833;ARCOS DE LA FRONTERA;ES EL PERAL
CARRETERA ARCOS-MEDINA KM. 9,200;I;Terrestre;L-D: 06:30-22:30;36.679056;-5.852389;ARCOS DE LA FRONTERA;E.S. SHELL LA FRONTERA
N 342 km 26.8;D;Terrestre;L-D: 06:00-22:00;36.741389;-5.854528;ARCOS DE LA FRONTERA;GARRUCHO
CARRETERA ARCOS - EL BOSQUE KM. 3;I;Terrestre;L: 06:00-00:00;36.75175;-5.784444;ARCOS DE LA FRONTERA;REPSOL
AVENIDA PONCE DE LEÓN, 12;N;Terrestre;L: 06:00-20:00;36.755;-5.820667;ARCOS DE LA FRONTERA;BP OIL ESPAÑA S.A.
CARRETERA CA-6104 KM. 0;D;Terrestre;L-D: 07:00-23:00;36.73675;-5.790389;ARCOS DE LA FRONTERA;ARGOMAR
CARRETERA CRTA. NACIONAL N-342 KM. 26,8;N;Terrestre;L-D: 24H;36.747389;-5.82475;ARCOS DE LA FRONTERA;CARREFOUR
CARRETERA A-382 KM. 26,8;D;Terrestre;L-D: 24H;36.747833;-5.822389;ARCOS DE LA FRONTERA;CEPSA
CRT.ARCOS ESPERA  C.343 km 3.2;I;Terrestre;"L-V: 08:00-18:00; S: 08:00-13:00";36.787667;-5.813722;ARCOS DE LA FRONTERA;NINGUNO
CALLE CRUZ DE LAS CARRERAS P9-10-11, 9;N;Terrestre;L-D: 24H;36.754889;-5.821278;ARCOS DE LA FRONTERA;BALLENOIL
CARRETERA CARRETERA JEDULA/ ARCOS DE LA FRA. KM. 1,1;N;Terrestre;L-D: 06:00-22:00;36.725167;-5.929278;JEDULA;CEPSA
CALLE MARIA LUISA (ZAH AT), S/N;D;Terrestre;L-D: 08:00-20:00;36.136444;-5.84425;BARBATE;BP
PLAZA REYES CATOLICOS, 3;I;Terrestre;L-D: 07:00-23:00;36.195028;-5.917806;BARBATE;CEPSA
POLIGONO AVENIDA DE LOS MARINEROS, 14;D;Terrestre;L: 24H;36.203306;-5.927083;BARBATE;BP
CARRETERA CA-393 VEJER-BARBATE KM. 95,7;N;Terrestre;L-D: 24H;36.199556;-5.920917;BARBATE;GALP
CALLE JUAN XXIII, 2;D;Terrestre;L-D: 24H;36.195028;-5.915861;BARBATE;BALLENOIL
CARRETERA N-340 KM. 110,8;D;Terrestre;L-D: 06:00-22:00;36.176611;-5.451417;BARRIOS (LOS);CEPSA
CARRETERA N-340 KM. 110,8;I;Terrestre;L-D: 24H;36.177278;-5.451917;BARRIOS (LOS);CEPSA
POLIGONO C.C. BAHIA PLAZA, S/N;D;Terrestre;L-D: 24H;36.189944;-5.431222;BARRIOS (LOS);NIEVES
CARRETERA CADIZ-MALAGA KM. 112,9;N;Terrestre;L-D: 24H;36.18175;-5.440889;BARRIOS (LOS);CARREFOUR
CARRETERA A-381 KM. 94;I;Terrestre;L-D: 24H;36.2;-5.514944;BARRIOS (LOS);REPSOL
CALLE GLORIETA LA MONTERA, S/N;D;Terrestre;L-D: 06:00-00:00;36.177833;-5.489722;BARRIOS (LOS);BP LA MONTERA
POLIGONO ZAL BAHIA DE ALGECIRAS AREA EL FRESNO, ;N;Terrestre;L-D: 24H;36.171694;-5.4615;BARRIOS (LOS);E.S. EL FRESNO
CARRETERA CENTRAL TÉRMICA KM. 2;D;Terrestre;L-D: 24H;36.180694;-5.439083;PALMONES;PLENOIL
POLIGONO P.I.MARISMAS DE PALMONES C/ MAR CANTABRICO PARCELA IT 2.12, 2,12;D;Terrestre;L-D: 24H;36.184806;-5.430028;PALMONES;GAFISUR PALMONES
CARRETERA CTRA.A-2225 KM 11 KM. ;I;Terrestre;L-D: 06:30-22:30;36.348444;-5.816028;BENALUP;E.S. SANTA ANA DE LA JANDA
POLIGONO P.I ZAHORÍ, 64;D;Terrestre;"L-V: 06:00-22:30; S-D: 07:00-22:30";36.349833;-5.820167;BENALUP;E.S.BENALUP
CR N-342, 44;D;Terrestre;L-S: 06:00-22:00;36.824417;-5.741639;BORNOS;CAMPSA
CARRETERA JEREZ CARTAGENA A-384 KM. 15,100;I;Terrestre;"L-V: 06:00-22:00; S-D: 08:00-22:00";36.844056;-5.691667;BORNOS;GALP
POLIGONO CANTARRANAS IND, 1;D;Terrestre;L-D: 24H;36.855889;-5.655111;BORNOS;E.S NTRA SRA DEL ROSARIO
CARRETERA EL BOSQUE-ARCOS KM. 0,5;N;Terrestre;"L-V: 07:00-21:00; S-D: 08:00-21:00";36.75825;-5.512694;BOSQUE (EL);GALP
POLIGONO HUERTO BLANQUILLO, NAVE 2;N;Terrestre;L-V: 08:30-18:00;36.758917;-5.517639;BOSQUE (EL);NINGUNO
AVENIDA ALCALDE MANUEL DE LA PINTA, 25;D;Terrestre;L-D: 24H;36.502139;-6.2705;CADIZ;CLC
AVENIDA ALCALDE SANCHEZ COSSIO, 1;N;Terrestre;L-D: 24H;36.495306;-6.267889;CADIZ;BP LA PEÑITA DE CADIZ
CALLE ALGECIRAS, 4;I;Terrestre;L-D: 24H;36.498194;-6.267417;CADIZ;HEMEGAS
CALLE CASTELLAR DE LA FRONTERA, 4;I;Terrestre;L-D: 24H;36.500333;-6.270222;CADIZ;PETROL & GO 
PLAZA VICTORIA, S/N;D;Terrestre;"L-V: 07:30-15:00 y 17:00-21:00; S: 09:00-14:00";36.526639;-6.289389;CADIZ;REPSOL
CALLE MARQUES DE COMILLAS SN, SN;D;Terrestre;L-S: 08:00-20:00;36.533694;-6.284472;CADIZ;SUMINISTROS MAZO
AVENIDA ANDALUCIA, 2;D;Terrestre;L-D: 07:00-23:00;36.524722;-6.287778;CADIZ;REPSOL
AVENIDA ASTILLEROS, S/N;D;Terrestre;L-D: 06:00-23:59;36.526361;-6.284361;CADIZ;CEPSA
CALLE PUERTO REAL, S/N -ZONA FRANCA CADIZ, S/N;D;Terrestre;"L-V: 07:00-21:00; S: 08:00-15:00";36.495222;-6.263333;CADIZ;CEPSA
AV SEGUNDA AGUADA, 2  C;D;Terrestre;L-D: 06:00-00:00;36.512611;-6.276278;CADIZ;REPSOL
AVENIDA DE LA ILUSTRACION, 1;I;Terrestre;L-D: 06:00-22:00;36.508028;-6.268361;CADIZ;REPSOL
AVENIDA JOSE LEON DE CARRANZA, 16;D;Terrestre;L-D: 06:00-22:00;36.498722;-6.27275;CADIZ;REPSOL
AVENIDA ALCALDE MANUEL DE LA PINTA, 22;D;Terrestre;L-D: 07:00-22:00;36.5025;-6.271111;CADIZ;REPSOL
CL.GIBRALTAR (ZONA FRANCA), Nº3;N;Terrestre;L-D: 06:00-22:00;36.501167;-6.271028;CADIZ;BP CARRANZA
CL GIBRALTAR ESQ SAN ROQUE;N;Terrestre;L-D: 06:30-22:30;36.497861;-6.27075;CADIZ;BP
CALLE CHICLANA, S/N;D;Terrestre;L-D: 24H;36.491472;-6.264139;CADIZ;RADIOTAXI
CL AVENIDA CAYETANO DEL TORO, 32;D;Terrestre;L-D: 24H;36.504111;-6.275806;CADIZ;BP CADIZ
CARRETERA A-369 KM. 11;D;Terrestre;L-D: 06:30-10:30;36.336944;-5.4075;ALMORAIMA;E.S. LA ALMORAIMA
CALLE SEVERO OCHOA, 23;D;Terrestre;L-D: 24H;36.426583;-6.154194;CHICLANA DE LA FRONTERA;CLC CALIDAD LOW COST
AVENIDA DE LOS DESCUBRIMIENTOS, 35;D;Terrestre;L-D: 24H;36.428583;-6.151306;CHICLANA DE LA FRONTERA;PLENOIL
CAMINO DE FUENTE AMARGA, 114;N;Terrestre;L-D: 24H;36.3945;-6.147306;CHICLANA DE LA FRONTERA;Q8
AVENIDA DEL MUEBLE, 56;N;Terrestre;L-D: 24H;36.435556;-6.143417;CHICLANA DE LA FRONTERA;PETROPRIX
CARRETERA N-340 KM. 11,375;D;Terrestre;L-D: 06:30-22:30;36.388583;-6.11925;CHICLANA DE LA FRONTERA;REPSOL
CARRETERA BARROSA DE LA KM. 1,300;D;Terrestre;L-D: 06:00-23:00;36.396639;-6.167917;CHICLANA DE LA FRONTERA;REPSOL
AVENIDA DEL MUEBLE, S/N;I;Terrestre;L-D: 06:00-00:00;36.430444;-6.1425;CHICLANA DE LA FRONTERA;SHELL
CARRETERA FUENTE AMARGA KM. 151;D;Terrestre;L-D: 24H;36.394194;-6.145778;CHICLANA DE LA FRONTERA;BP EL FLORIN
CR N-340, 12,3;D;Terrestre;"L-V: 06:00-22:00; S: 07:00-14:00";36.381278;-6.115361;CHICLANA DE LA FRONTERA;REPSOL
CARRETERA MEDINA KM. 0,625;D;Terrestre;L-D: 06:00-00:00;36.418306;-6.139528;CHICLANA DE LA FRONTERA;REPSOL
AVENIDA REYES CATOLICOS, 15;I;Terrestre;L-D: 06:00-00:00;36.415417;-6.143028;CHICLANA DE LA FRONTERA;REPSOL
AVENIDA MUEBLE DEL, 1;I;Terrestre;L-D: 24H;36.441972;-6.143694;CHICLANA DE LA FRONTERA;REPSOL
POLIGONO EL TORNO II, S/N;N;Terrestre;L-D: 24H;36.425389;-6.152639;CHICLANA DE LA FRONTERA;BP URBISUR
POLIGONO EL TORNO, AVDA. DESCUBRIMIENTOS ESQ. ALAMEDA DE SOLANO, S/N;N;Terrestre;L-D: 24H;36.429333;-6.143528;CHICLANA DE LA FRONTERA;BP LA BAHIA
"URBANIZACIÓN PARCELA 2 DEL SUNC-TU 24 ""CAMINO DEL LOBO 1"", 1";N;Terrestre;L-D: 24H;36.431333;-6.141944;CHICLANA DE LA FRONTERA;EASYFUEL
CALLE CRUZ DE LA CALZADA PELAGA, S/N;D;Terrestre;L-D: 24H;36.407694;-6.130472;CHICLANA DE LA FRONTERA;GALP
CALLE ELECTRICISTAS LOS, 1;D;Terrestre;L-D: 24H;36.411028;-6.13925;CHICLANA DE LA FRONTERA;BALLENOIL
CARRETERA MEDINA KM. 1;I;Terrestre;L-D: 24H;36.416111;-6.133861;CHICLANA DE LA FRONTERA;BP
CARRETERA BARROSA-CHICLANA DE LA FRONTERA-SANCTI PETRI KM. 2,5;D;Terrestre;L-D: 07:00-23:00;36.393556;-6.176694;CHICLANA DE LA FRONTERA;CEPSA
ALAMEDA SOLANO, 18 (N-340A km 5,1);I;Terrestre;L-D: 06:00-22:00;36.426639;-6.14425;CHICLANA DE LA FRONTERA;CEPSA
AVENIDA DE LOS DESCUBRIMIENTOS, 64;D;Terrestre;L-D: 24H;36.428444;-6.151083;CHICLANA DE LA FRONTERA;BALLENOIL
AVENIDA BAHIA DE ALGECIRAS, 2;D;Terrestre;L-D: 24H;36.4035;-6.129944;CHICLANA DE LA FRONTERA;CLC
CAMINO HUERTA PITON, 1;N;Terrestre;L-D: 24H;36.401167;-6.16525;CHICLANA DE LA FRONTERA;LAVAOIL
AVENIDA MUEBLE DEL, 28;D;Terrestre;L-D: 24H;36.43925;-6.14375;CHICLANA DE LA FRONTERA;PETROPRIX CHICLANA
AVENIDA DEL MUEBLE, 8;D;Terrestre;L-D: 24H;36.432167;-6.143194;CHICLANA DE LA FRONTERA;PLENOIL
CAMINO AGUILA REAL, 22;D;Terrestre;L-D: 24H;36.393583;-6.16925;CHICLANA DE LA FRONTERA;BALLENOIL
CALLE CONSTITUCION, 103;D;Terrestre;L-D: 24H;36.735806;-6.422611;CHIPIONA;AUTONET&OIL
AVENIDA GRANADA, 102;D;Terrestre;L-D: 24H;36.738417;-6.421889;CHIPIONA;ESC
CARRETERA A-480 KM. 24,1;D;Terrestre;L-D: 07:00-22:00;36.746639;-6.384889;CHIPIONA;CEPSA
AVENIDA DIPUTACION, 1;D;Terrestre;L-D: 07:00-23:00;36.738833;-6.43275;CHIPIONA;CEPSA
CARRETERA A 480 KM. 1,2;D;Terrestre;L-D: 06:30-22:30;36.742722;-6.405556;CHIPIONA;REPSOL
AVENIDA DE LA ESTACION, S/N;D;Terrestre;L-D: 07:00-23:00;36.736083;-6.422417;CHIPIONA;CEPSA
CARRETERA CADIZ-MALAGA KM. 16,700;I;Terrestre;L-D: 06:00-23:00;36.339833;-6.093639;CONIL DE LA FRONTERA;REPSOL
CALLE GONZALO SANCHEZ FUENTES, 2;D;Terrestre;L-D: 06:00-22:00;36.281194;-6.089806;CONIL DE LA FRONTERA;REPSOL
CALLE CARRETERA, 37;I;Terrestre;L-D: 07:00-23:00;36.281472;-6.084028;CONIL DE LA FRONTERA;REPSOL
LUGAR CASA DE POSTAS, 11;D;Terrestre;"L-V: 08:30-14:00 y 15:30-19:00; S: 09:00-13:00";36.295167;-6.0725;CONIL DE LA FRONTERA;COOPERATIVA AGRÍCOLA SAN PATRICIO DE CONIL
CARRETERA PRADILLO KM. 1;D;Terrestre;L-D: 24H;36.286111;-6.091611;CONIL DE LA FRONTERA;PLENOIL
AVENIDA DE LA MUSICA, 8;D;Terrestre;L-D: 24H;36.284194;-6.084083;CONIL DE LA FRONTERA;PETROLIA
CARRETERA CÁDIZ - MÁLAGA KM. 17,67;N;Terrestre;L-D: 24H;36.336167;-6.091944;CONIL DE LA FRONTERA;BALLENOIL
AUTOVIA A48 KM. 24,400;D;Terrestre;L-D: 24H;36.309917;-6.057056;CONIL DE LA FRONTERA;BP
AUTOVIA AUTOVIA DE LA LUZ KM. 24,400;I;Terrestre;L-D: 24H;36.309028;-6.0555;CONIL DE LA FRONTERA;BP
CARRETERA CADIZ MALAGA KM. 21;N;Terrestre;"L-S: 08:00-20:00; D: 07:00-14:00";36.304528;-6.077444;CONIL DE LA FRONTERA;SCA. NTRA. SRA. DE LAS VIRTUDES
AVENIDA PRIMERO DE MAYO (ZORRERA), 9;D;Terrestre;L: 07:00-22:00;36.291306;-6.069583;CONIL DE LA FRONTERA;CENTRO DE LAVADO LA ZORRERA SL
CARRETERA CN-340, P.K. 17,300 ESQUINA CARRIL JUANA VELA KM. 17300;N;Terrestre;L-D: 24H;36.341028;-6.093833;CONIL DE LA FRONTERA;CARREFOUR
CR CA-343, 21;D;Terrestre;L-S: 06:00-10:00;36.868833;-5.806;ESPERA;GARRUCHO ESPERA
CARRETERA C-344 KM. 53;I;Terrestre;L-D: 24H;36.760472;-5.367972;GRAZALEMA;CEPSA
AVENIDA ALCALDE CANTOS ROPERO, 89;D;Terrestre;L-D: 24H;36.658528;-6.131389;JEREZ DE LA FRONTERA;ECONOIL
AVENIDA SANLUCAR, ;N;Terrestre;L-D: 24H;36.679306;-6.147333;JEREZ DE LA FRONTERA;BALLENOIL
ROTONDA CUATRO CAMINOS, S/N;D;Terrestre;"L-V: 06:00-22:00; S: 08:00-16:00; D: 00:00-00:01";36.677889;-6.144944;JEREZ DE LA FRONTERA;REPSOL
AVENIDA ALCALDE CANTOS ROPERO, S/N;I;Terrestre;"L-V: 00:00-22:00; S: 00:00-06:00 y 07:00-23:59; D: 00:00-06:00 y 15:00-23:59";36.659917;-6.130444;JEREZ DE LA FRONTERA;REPSOL
CALLE RONDA AURORA BOREAL, 3;N;Terrestre;L-D: 24H;36.694972;-6.157806;JEREZ DE LA FRONTERA;ALCAMPO
A 480 KM 25,8;I;Terrestre;L-D: 24H;36.682111;-6.163639;JEREZ DE LA FRONTERA;SHELL
CARRETERA CALVARIO (EL) KM. S/N;N;Terrestre;L-D: 06:00-00:00;36.698722;-6.16275;JEREZ DE LA FRONTERA;SHELL
CARRETERA ANTIGUA N-IV KM. 639,5;N;Terrestre;L-D: 24H;36.68775;-6.15475;JEREZ DE LA FRONTERA;GALP
CARRETERA CIRCUNVALACION KM. 639,8;I;Terrestre;L-D: 24H;36.684333;-6.153028;JEREZ DE LA FRONTERA;SHELL
CALLE SUDAFRICA, 134;D;Terrestre;L-D: 24H;36.651778;-6.134333;JEREZ DE LA FRONTERA;GACOSUR JEREZ
AVENIDA ALCALDE CANTOS ROPERO, S/N;N;Terrestre;L-D: 24H;36.668167;-6.131722;JEREZ DE LA FRONTERA;Q8
POLIGONO SUR MANZANA 23 UE-2H, 1;N;Terrestre;L-D: 24H;36.670222;-6.145167;JEREZ DE LA FRONTERA;TAMOIL
CALLE JARDINERIA, 1;I;Terrestre;L-D: 24H;36.679611;-6.152889;JEREZ DE LA FRONTERA;ECONOIL
CARRETERA EL CALVARIO KM. 2,5;D;Terrestre;L-V: 08:00-15:00 y 15:01-19:00;36.702167;-6.16675;JEREZ DE LA FRONTERA;REPSOL-COOP. SAN DIONISIO
CARRETERA CIRCUNVALACION KM. S/N;D;Terrestre;L-D: 24H;36.696806;-6.150278;JEREZ DE LA FRONTERA;PLENOIL
BARRIADA LA PLATA, S/N;D;Terrestre;L-D: 08:00-21:00;36.692972;-6.142833;JEREZ DE LA FRONTERA;CEPSA
CARRETERA DE LEBRIJA KM. 6;N;Terrestre;L-D: 24H;36.712472;-6.126889;JEREZ DE LA FRONTERA;BALLENOIL
CARRETERA MADRID CADIZ KM. 15;D;Terrestre;L-D: 24H;36.708028;-6.114778;JEREZ DE LA FRONTERA;PETROPRIX
AVENIDA ANDALUCIA, 105;I;Terrestre;L-D: 07:00-23:00;36.704972;-6.11875;JEREZ DE LA FRONTERA;CEPSA
CARRETERA N-IV KM. 632;I;Terrestre;L-D: 24H;36.726972;-6.095194;JEREZ DE LA FRONTERA;CEPSA
CARRETERA NACIONAL IV ,KM 641 (PTA DEL SUR) KM. 641;N;Terrestre;L-D: 24H;36.673417;-6.151306;JEREZ DE LA FRONTERA;CARREFOUR
A- 4 km 628.5;I;Terrestre;L-D: 06:00-22:00;36.758528;-6.0715;JEREZ DE LA FRONTERA;SHELL
AVENIDA ANDALUCÍA, 34;D;Terrestre;L-D: 07:00-00:00;36.705;-6.117222;JEREZ DE LA FRONTERA;REPSOL
AVENIDA DUQUE DE ABRANTES, S/N;D;Terrestre;L-D: 08:00-21:00;36.695361;-6.134167;JEREZ DE LA FRONTERA;REPSOL
AVENIDA PRESIDENTE ADOLFO SUAREZ, 3;D;Terrestre;L-D: 06:00-22:00;36.707083;-6.125056;JEREZ DE LA FRONTERA;REPSOL
AP-4 (MRG.DCHO.) km 70;D;Terrestre;L-D: 24H;36.7815;-6.044722;JEREZ DE LA FRONTERA;BP AP4 CUADREJON SEVILLA
AP-4 (MRG.IZDO.) km 70;I;Terrestre;L-D: 24H;36.78125;-6.043167;JEREZ DE LA FRONTERA;BP AP4 CUADREJON JEREZ
AVENIDA PRESIDENTE ADOLFO SUAREZ, 4;I;Terrestre;L-D: 24H;36.706694;-6.125028;JEREZ DE LA FRONTERA;REPSOL
CARRETERA DE LEBRIJA KM. 6;D;Terrestre;L-D: 24H;36.711444;-6.127472;JEREZ DE LA FRONTERA;SEROIL ENERGY 
CARRETERA C-440 KM. 2;D;Terrestre;L-D: 06:00-22:00;36.671111;-6.121944;JEREZ DE LA FRONTERA;REPSOL
NUEVA RONDA ESTE. GTA.BARRIADA NUEVA;N;Terrestre;L-D: 24H;36.673722;-6.110222;JEREZ DE LA FRONTERA;BP
AUTOVIA A-381 KM. 2,5;I;Terrestre;"L-V: 06:00-22:00; S-D: 07:00-22:00";36.634833;-6.074139;JEREZ DE LA FRONTERA;REPSOL
AVENIDA ARCOS C/V CALLE LAGUNA, S/N;N;Terrestre;L-D: 06:00-23:59;36.694278;-6.100917;JEREZ DE LA FRONTERA;CEPSA
AVENIDA MEDINA SIDONIA, S/N;I;Terrestre;L-D: 06:00-22:00;36.677167;-6.123944;JEREZ DE LA FRONTERA;GALP
AVENIDA FERNANDO PORTILLO, S/N;N;Terrestre;L-D: 24H;36.697444;-6.107;JEREZ DE LA FRONTERA;BALLENOIL
AVENIDA ARCOS, 59;D;Terrestre;L-D: 08:00-21:00;36.686444;-6.117833;JEREZ DE LA FRONTERA;CEPSA
AVENIDA EUROPA, S/N;N;Terrestre;L-D: 24H;36.697972;-6.111694;JEREZ DE LA FRONTERA;BALLENOIL
AVENIDA EUROPA, S/N;D;Terrestre;"L-J: 06:00-01:00; V-S: 06:00-01:30; D: 08:30-01:00";36.696917;-6.113278;JEREZ DE LA FRONTERA;CARREFOUR
CARRETERA N-342 KM. 4;I;Terrestre;"L-V: 07:00-22:00; S-D: 08:00-16:00";36.697028;-6.096778;JEREZ DE LA FRONTERA;REPSOL
CALLE MARTIN FERRADOR, SN;D;Terrestre;L-D: 06:00-23:00;36.690056;-6.127417;JEREZ DE LA FRONTERA;REPSOL
CL BARRIO CAULINA -(CRTA ACCESO N-4;D;Terrestre;L-D: 06:00-22:00;36.701556;-6.092056;JEREZ DE LA FRONTERA;REPSOL
AVENIDA MEDINA SIDONIA KM.1, S/N;D;Terrestre;L-D: 24H;36.671611;-6.122111;JEREZ DE LA FRONTERA;BALLENOIL
CARRETERA A-381 KM. 17;I;Terrestre;L-D: 24H;36.524694;-5.981694;JEREZ DE LA FRONTERA;GALP
CARRETERA JEREZ - GUADALCACIN KM. 0;I;Terrestre;L-D: 06:30-23:00;36.711556;-6.089194;GUADALCACIN DEL CAUDILLO;REPSOL
CALLE RONDA DEL TROBAL, S/N;D;Terrestre;L-D: 24H;36.757333;-6.030278;NUEVA JARILLA;CNJ
CARRETERA DE CORTES KM. 18;D;Terrestre;"L-V: 07:00-22:00; S-D: 08:00-22:00";36.649556;-5.934444;BARCA DE LA FLORIDA (LA);REPSOL
CARRETERA CORTES (DE) KM. 26;D;Terrestre;L-D: 24H;36.647972;-5.926306;BARCA DE LA FLORIDA (LA);COOPERATIVA LA FLORIDA
CALLE POZO, S/N;I;Terrestre;L-D: 08:00-09:00;36.622278;-5.9735;TORNO (EL);LA SEMBRADORA
A-2003 km 25,5;D;Terrestre;L-D: 07:00-22:00;36.628164;-5.857505;JEREZ DE LA FRONTERA;LIBRE
CARRETERA A-381 KM. 11,500;D;Terrestre;L-D: 24H;36.568944;-6.023556;TORRECERA;REPSOL
CALLE LARGA, 0;D;Terrestre;L-D: 24H;36.669611;-5.908028;JOSE ANTONIO;COOPERATIVA JOSE ANTONIO
CALLE LOS ANGELES, 13;I;Terrestre;"L-S: 06:00-23:00; D: 06:30-23:00";36.421278;-5.435833;JIMENA DE LA FRONTERA;CEPSA
AVENIDA LOS DEPORTES, 67;N;Terrestre;L-D: 06:00-22:30;36.430194;-5.442361;ANGELES (LOS);JIMENOIL
CARRETERA C-341 KM. 112,7;D;Terrestre;L-D: 06:00-22:00;36.464167;-5.41825;SAN PABLO DE BUCEITE;REPSOL
CALLE PERDIZ, 1;D;Terrestre;L-D: 24H;36.189639;-5.348944;LINEA LA CONCEPCION (LA);PLENOIL
AVENIDA AVDA. DE LA COLONIA, 9;N;Terrestre;L-D: 24H;36.17425;-5.362028;LINEA LA CONCEPCION (LA);CARREFOUR
AVENIDA RONDA NORTE, 2;N;Terrestre;L-D: 24H;36.177111;-5.349111;LINEA LA CONCEPCION (LA);SHELL
CARRETERA A-383 KM. 4,7;I;Terrestre;"L-V: 07:00-19:00; S-D: 08:00-14:00";36.199194;-5.34575;LINEA LA CONCEPCION (LA);REPSOL
CARRETERA CARRETERA COMARCAL 233 KM. 5,8;D;Terrestre;L-D: 07:00-23:00;36.191222;-5.348278;LINEA LA CONCEPCION (LA);ES COLOSO
AVENIDA DE CARTAGENA ESQ. CAMINO TORRENUEVA, S/N;N;Terrestre;L-D: 24H;36.176833;-5.338889;LINEA LA CONCEPCION (LA);BP
POLIGONO ZABAL BAJO, 6,3;D;Terrestre;L-D: 24H;36.186639;-5.349861;LINEA LA CONCEPCION (LA);CEPSA
AVDA.DE LAS INDUSTRIAS, 40;D;Terrestre;L: 24H;36.174667;-5.361167;LINEA LA CONCEPCION (LA);E.S.CAMPO DE GIBRALTAR
CALLE EUROPA, S/N;N;Terrestre;L-D: 24H;36.47125;-5.948167;MEDINA-SIDONIA;GALP
PLAZA DEL PUNTO, 000;I;Terrestre;L-D: 06:00-22:00;36.460806;-5.929278;MEDINA-SIDONIA;CEPSA
AVENIDA PRADO DE LA FERIA, 6;N;Terrestre;L-D: 06:00-22:00;36.470667;-5.945861;MEDINA-SIDONIA;GALP
CARRETERA CR-440,32C-440 KM. 32;I;Terrestre;"L-V: 06:30-22:00; S-D: 07:00-22:00";36.479472;-5.915833;MEDINA-SIDONIA;REPSOL
AVENIDA JULIAN BESTEIRO, 41;N;Terrestre;L-D: 09:00-19:00;36.934167;-5.254694;OLVERA;REPSOL
CALLE MANUEL DE FALLA, 0000;N;Terrestre;L-V: 08:30-21:00;36.933639;-5.259472;OLVERA;NINGUNO
CALLE LAVANDERA, 2;D;Terrestre;L-D: 24H;36.933639;-5.246111;OLVERA;HEMEGAS
AVENIDA ANDALUCIA, 97;I;Terrestre;L-D: 06:30-21:00;36.520167;-5.861222;PATERNA DE RIVERA;REPSOL
